MeasurementNo,Unix_Epoch_UTC,CTD_C,CTD_T,CTD_D,Optode_O2,Optode_Temp,Optode_Cal_Ph,Optode_Tc_Ph,Optode_C1_Ph,Optode_C2_Ph,Optode_C1_Amp,Optode_C2_Amp,Optode_Temp_raw,Wetlab_C1_lambda,Wetlab_C1_signal,Wetlab_C2_lambda,Wetlab_C2_signal,Wetlab_C3_lambda,Wetlab_C3_signal,Wetlab_Therm
164,1776450642,0.000020,21.699800,-0.500000,276.584015,21.622000,31.063000,31.063000,38.887001,7.824000,952.599976,1013.500000,261.600006,695,50,700,68,460,57,540
165,1776450662,0.000020,21.701599,-0.500000,276.587006,21.631001,31.059999,31.059999,38.887001,7.828000,952.500000,1013.400024,261.399994,695,47,700,67,460,50,540
166,1776450682,0.000030,21.703300,-0.500000,276.579010,21.632000,31.059999,31.059999,38.886002,7.826000,952.400024,1013.299988,261.399994,695,49,700,74,460,66,540
167,1776450702,0.000020,21.704500,-0.510000,276.502014,21.638000,31.059999,31.059999,38.886002,7.826000,952.400024,1013.200012,261.200012,695,48,700,66,460,39,540
168,1776450722,0.000020,21.706301,-0.510000,276.518005,21.642000,31.058001,31.058001,38.886002,7.828000,952.400024,1013.200012,261.000000,695,48,700,66,460,61,540
169,1776450742,0.000020,21.707899,-0.490000,276.411011,21.650000,31.059000,31.059000,38.884998,7.826000,952.400024,1013.099976,260.799988,695,48,700,66,460,38,540
170,1776450762,0.000020,21.709801,-0.480000,276.417999,21.655001,31.056000,31.056000,38.883999,7.828000,952.200012,1013.000000,260.600006,695,48,700,74,460,66,540
171,1776450782,0.000020,21.711201,-0.490000,276.437012,21.660999,31.052999,31.052999,38.882000,7.829000,952.200012,1012.900024,260.399994,695,55,700,73,460,37,540
172,1776450802,0.000030,21.713200,-0.500000,276.377991,21.663000,31.055000,31.055000,38.883999,7.829000,952.200012,1012.900024,260.399994,695,44,700,68,460,46,540
173,1776450822,0.000020,21.714800,-0.500000,276.337006,21.666000,31.055000,31.055000,38.882999,7.828000,952.099976,1012.799988,260.299988,695,55,700,71,460,34,540
174,1776450842,0.000020,21.716499,-0.510000,276.378998,21.674000,31.049999,31.049999,38.879002,7.829000,952.000000,1012.700012,260.000000,695,50,700,69,460,54,540
175,1776450862,0.000020,21.719000,-0.500000,276.356995,21.681000,31.048000,31.048000,38.877998,7.829000,952.000000,1012.700012,259.799988,695,50,700,65,460,52,540
176,1776450882,0.000020,21.720699,-0.510000,276.273987,21.687000,31.049000,31.049000,38.877998,7.829000,951.900024,1012.599976,259.600006,695,51,700,63,460,49,540
177,1776450902,0.000020,21.722700,-0.510000,276.321991,21.687000,31.047001,31.047001,38.876999,7.830000,951.900024,1012.599976,259.600006,695,47,700,70,460,65,540
178,1776450922,0.000020,21.725500,-0.520000,276.178009,21.698999,31.048000,31.048000,38.876999,7.829000,951.700012,1012.400024,259.299988,695,50,700,72,460,33,540
179,1776450942,0.000020,21.727400,-0.520000,276.191010,21.705000,31.045000,31.045000,38.875000,7.830000,951.700012,1012.299988,259.100006,695,49,700,70,460,50,540
180,1776450962,0.000030,21.729200,-0.520000,276.072998,21.708000,31.049000,31.049000,38.879002,7.830000,951.599976,1012.299988,259.000000,695,46,700,68,460,61,540
181,1776450982,0.000030,21.731899,-0.520000,276.169006,21.716000,31.041000,31.041000,38.872002,7.831000,951.599976,1012.200012,258.700012,695,52,700,68,460,32,540
182,1776451002,0.000030,21.733700,-0.520000,276.085999,21.721001,31.042000,31.042000,38.873001,7.830000,951.500000,1012.099976,258.600006,695,50,700,71,460,71,540
183,1776451022,0.000030,21.736200,-0.520000,276.022003,21.726999,31.042999,31.042999,38.874001,7.831000,951.400024,1012.000000,258.399994,695,45,700,68,460,67,540
184,1776451042,0.000020,21.738300,-0.530000,276.075012,21.731001,31.039000,31.039000,38.870998,7.832000,951.400024,1011.900024,258.299988,695,50,700,72,460,47,540
185,1776451062,0.000020,21.740999,-0.530000,275.981995,21.738001,31.040001,31.040001,38.869999,7.831000,951.299988,1011.900024,258.100006,695,52,700,71,460,64,540
186,1776451082,0.000020,21.743299,-0.530000,275.979004,21.745001,31.037001,31.037001,38.868999,7.832000,951.299988,1011.799988,257.899994,695,50,700,71,460,50,540
